Society,Card Title,Carpet Area,Price,Price Per Sqft,Floor
,4 BHK Apartment for Sale in Prabhat Road Pune,1294 sqft,₹3.25 Cr,"₹18,603 per sqft",3 out of 13
Ekta California,"4 BHK Apartment for Sale in Ekta California, Palace Orchard, Mohammed Wadi Pune",2950 sqft,₹2.35 Cr,"₹6,343 per sqft",2 out of 12
Nanded City,"2 BHK Apartment for Sale in Nanded City, Kothrud Pune",785 sqft,₹1.49 Cr,"₹13,493 per sqft",3 out of 7
,3 BHK Apartment for Sale in Baner Pune,,₹1.17 Cr,"₹9,574 per sqft",8 out of 17
,3 BHK Apartment for Sale in Pan Card Club Road Pune,1576 sqft,₹2.23 Cr,"₹10,932 per sqft",5 out of 7
Trillium,"2 BHK Apartment for Sale in Trillium, Magarpatta Pune",830 sqft,₹1.20 Cr,,9 out of 11
Sunshree Kangan,"2 BHK Apartment for Sale in Sunshree Kangan, Wanowrie Pune",900 sqft,₹71 Lac,"₹6,455 per sqft",1 out of 6
Rohan Garima Phase II,"3 BHK Apartment for Sale in Rohan Garima Phase II, Senapati Bapat Road Pune",1020 sqft,₹2.25 Cr,"₹17,442 per sqft",3 out of 12
,3 BHK Apartment for Sale in Dattawadi Pune,1015 sqft,₹1.47 Cr,"₹10,316 per sqft",4 out of 7
Yashwin Orizzonte,"3 BHK Apartment for Sale in Yashwin Orizzonte, Kharadi Pune",953 sqft,₹1.35 Cr,"₹10,385 per sqft",4 out of 30
Hermes Drome,"2 BHK Apartment for Sale in Hermes Drome, Viman Nagar Pune",850 sqft,₹1.15 Cr,"₹9,200 per sqft",3 out of 7
,4 BHK Apartment for Sale in Kondhwa Pune,1500 sqft,₹1.70 Cr,"₹8,395 per sqft",2 out of 20
Mystique Moods,"3 BHK Apartment for Sale in Mystique Moods, Viman Nagar Pune",1250 sqft,₹1.68 Cr,"₹10,500 per sqft",5 out of 8
,1 BHK Apartment for Sale in Kondhawe Dhawade Pune,564 sqft,₹36 Lac,"₹5,217 per sqft",1 out of 5
DSK Chandradeep,"2 BHK Apartment for Sale in DSK Chandradeep, Mukund Nagar Pune",900 sqft,₹1.65 Cr,,11 out of 11
Bella Arwana Phase 1,"2 BHK Apartment for Sale in Bella Arwana Phase 1, Kaveri Nagar Pune",,₹1 Cr,"₹10,753 per sqft",5 out of 11
Shreeya Sneh,"1 BHK Apartment for Sale in Shreeya Sneh, Undri Pune",520 sqft,₹28.7 Lac,"₹4,552 per sqft",4 out of 4
,"4 BHK Penthouse for Sale in Bijlinagar, Pimpri Chinchwad Pune",2000 sqft,₹1.35 Cr,"₹5,000 per sqft",4 out of 4
Rohan Abhilasha,"1 BHK Apartment for Sale in Rohan Abhilasha, Wagholi Pune",,₹35.5 Lac,"₹5,462 per sqft",2 out of 13
Amits Montecito,"3 BHK Apartment for Sale in Amits Montecito, Sahakar Nagar Parvati Paytha Pune",1610 sqft,₹3.50 Cr,"₹15,556 per sqft",5 out of 15
Marvel Citrine,"3 BHK Apartment for Sale in Marvel Citrine, Kharadi Pune",,₹1.55 Cr,"₹9,337 per sqft",2 out of 12
,"2 BHK Apartment for Sale in Atul Nagar, Warje Pune",890 sqft,₹86 Lac,"₹7,167 per sqft",1 out of 4
,"2 BHK Apartment for Sale in Ravet, Pimpri Chinchwad Pune",585 sqft,₹53 Lac,"₹5,889 per sqft",2 out of 4
Beverly Hills,"1 BHK Apartment for Sale in Beverly Hills, Hinjawadi Pune",,₹54 Lac,"₹7,606 per sqft",5 out of 12
,4 BHK Builder Floor for Sale in Koregaon Park Pune,3800 sqft,₹9 Cr,"₹17,308 per sqft",2 out of 6
Tanish Vikas,"1 BHK Apartment for Sale in Tanish Vikas, Alandi, Kelgaon Pune",451 sqft,₹29.5 Lac,"₹5,086 per sqft",4 out of 4
Xrbia Smart City Talegaon Ambi,"1 BHK Apartment for Sale in Xrbia Smart City Talegaon Ambi, Ambi Pune",,₹14.9 Lac,"₹7,500 per sqft",4 out of 12
Sun Exotica,"2 BHK Apartment for Sale in Sun Exotica, Yewalewadi, Katraj Pune",824 sqft,₹53 Lac,"₹5,858 per sqft",4 out of 10
Kolte Patil 24k Sereno,"3 BHK Apartment for Sale in Kolte Patil 24k Sereno, Pan Card Club Road Pune",1240 sqft,₹1.78 Cr,"₹10,558 per sqft",2 out of 20
Godrej Hillside,"2 BHK Apartment for Sale in Godrej Hillside, Mahalunge Pune",850 sqft,₹85 Lac,"₹8,947 per sqft",8 out of 18
Konark Exotica,"2 BHK Apartment for Sale in Konark Exotica, Wagholi Pune",930 sqft,₹63 Lac,"₹5,362 per sqft",1 out of 7
GK Atlanta Phase 1,"2 BHK Apartment for Sale in GK Atlanta Phase 1, Wakad Pune",,₹88 Lac,"₹9,483 per sqft",4 out of 13
Ajmera Aria,"4 BHK Apartment for Sale in Ajmera Aria, Koregaon Park Pune",5000 sqft,₹16 Cr,"₹22,857 per sqft",2 out of 22
Kalpataru Splendour,"2 BHK Apartment for Sale in Kalpataru Splendour, Kaspate Wasti Pune",1046 sqft,₹98 Lac,"₹7,206 per sqft",1 out of 8
Bramha the Collection,"2 BHK Apartment for Sale in Bramha the Collection, New Kalyani Nagar Pune",765 sqft,₹1.10 Cr,"₹10,649 per sqft",10 out of 29
Vilas Javdekar,"2 BHK Apartment for Sale in Vilas Javdekar, Kharadi Pune",810 sqft,₹1.02 Cr,"₹9,273 per sqft",10 out of 22
Pashankar Yin Yang,"3 BHK Apartment for Sale in Pashankar Yin Yang, Kharadi Pune",1210 sqft,₹1.30 Cr,"₹9,009 per sqft",7 out of 12
Kohinoor S3 Lifestyle,"3 BHK Apartment for Sale in Kohinoor S3 Lifestyle, Pimple Saudagar, Pimpri Chinchwad Pune",1250 sqft,₹1.05 Cr,"₹7,000 per sqft",2 out of 12
Zen Estate,"2 BHK Apartment for Sale in Zen Estate, Kharadi Pune",747 sqft,₹97 Lac,"₹11,412 per sqft",14 out of 15
Amanora Metro Towers,"Studio Apartment for Sale in Amanora Metro Towers, Hadapsar Pune",300 sqft,₹38 Lac,"₹9,500 per sqft",10 out of 12
,1 BHK Apartment for Sale in Bavdhan Pune,521 sqft,₹63 Lac,,3 out of 5
,3 BHK Apartment for Sale in Pan Card Club Road Pune,1163 sqft,₹1.40 Cr,"₹8,917 per sqft",4 out of 6
The Parkland,"2 BHK Apartment for Sale in The Parkland, Balewadi Pune",971 sqft,₹1.16 Cr,"₹8,775 per sqft",6 out of 11
Krishna Amorapolis,"2 BHK Apartment for Sale in Krishna Amorapolis, Dhanori Pune",750 sqft,₹68 Lac,"₹6,476 per sqft",10 out of 13
City One Skyve,"2 BHK Apartment for Sale in City One Skyve, Ravet, Pimpri Chinchwad Pune",765 sqft,₹65 Lac,"₹8,497 per sqft",17 out of 19
,"4 BHK Apartment for Sale in Model Colony, Shivaji Nagar Pune",2800 sqft,₹8.14 Cr,"₹18,830 per sqft",3 out of 12
Kunal Aspiree Phase II,"3 BHK Apartment for Sale in Kunal Aspiree Phase II, Balewadi Pune",1250 sqft,₹1.60 Cr,"₹11,765 per sqft",7 out of 16
High Mount Phase 2,"2 BHK Apartment for Sale in High Mount Phase 2, Hinjawadi Pune",950 sqft,₹62 Lac,"₹8,267 per sqft",8 out of 11
Koregaon Park,"2 BHK Apartment for Sale in Koregaon Park, Ragvilas Society, Koregaon Park Pune",800 sqft,₹1.30 Cr,,2 out of 4
VTP Earth One,"3 BHK Apartment for Sale in VTP Earth One, Mahalunge Pune",926 sqft,₹1.12 Cr,"₹12,095 per sqft",22 out of 34
Trillium,"2 BHK Apartment for Sale in Trillium, Magarpatta Pune",900 sqft,₹1.10 Cr,"₹10,476 per sqft",11 out of 11
Runwal Seagull,"2 BHK Apartment for Sale in Runwal Seagull, Hadapsar Pune",1030 sqft,₹45 Lac,"₹6,338 per sqft",Lower Basement out of 12
Godrej Serene,"3 BHK Apartment for Sale in Godrej Serene, Mamurdi, Dehu Road Pune",950 sqft,₹97 Lac,"₹10,052 per sqft",9 out of 14
Sadguru Empire,"3 BHK Apartment for Sale in Sadguru Empire, Kiwale, Dehu Road Pune",978 sqft,₹76 Lac,,11 out of 13
,2 BHK Apartment for Sale in Sopan Baug Pune,781 sqft,₹1.16 Cr,"₹11,053 per sqft",6 out of 7
Mahindra Citadel,"3 BHK Apartment for Sale in Mahindra Citadel, Pimpri Chinchwad Pune",1129 sqft,₹1.20 Cr,"₹7,874 per sqft",10 out of 23
Yashwin Orizzonte,"2 BHK Apartment for Sale in Yashwin Orizzonte, Kharadi Pune",732 sqft,₹1 Cr,"₹9,690 per sqft",4 out of 24
Kamal Prabha,"3 BHK Apartment for Sale in Kamal Prabha, Katraj Kondhwa Road Pune",,₹95 Lac,"₹8,636 per sqft",4 out of 7
Nyati Enclave,"3 BHK Apartment for Sale in Nyati Enclave, Mohammed Wadi Pune",1270 sqft,₹1.04 Cr,"₹7,664 per sqft",4 out of 6
Yashwin 2,"3 BHK Apartment for Sale in Yashwin 2, Sus Pune",1570 sqft,₹1.50 Cr,"₹9,554 per sqft",7 out of 11
Tanish Orchid,"1 BHK Apartment for Sale in Tanish Orchid, Charholi BK Pune",460 sqft,₹33 Lac,"₹5,690 per sqft",12 out of 12
Tennessee,"3 BHK Apartment for Sale in Tennessee, Talegaon Dabhade Pune",1300 sqft,₹95 Lac,"₹4,657 per sqft",10 out of 12
Little Earth Apartments,"2 BHK Apartment for Sale in Little Earth Apartments, Mamurdi, Dehu Road Pune",787 sqft,₹60.5 Lac,"₹6,722 per sqft",4 out of 12
,1 BHK Apartment for Sale in Uttam Nagar Pune,468 sqft,₹26.8 Lac,,4 out of 5
Kolte Patil Life Republic,"2 BHK Apartment for Sale in Kolte Patil Life Republic, Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi Pune",850 sqft,₹72 Lac,"₹8,000 per sqft",Lower Basement out of 22
Riverdale Heights,"1 BHK Apartment for Sale in Riverdale Heights, Kharadi Pune",600 sqft,₹59 Lac,"₹8,345 per sqft",10 out of 23
Lake Town,"3 BHK Apartment for Sale in Lake Town, Bibwewadi Pune",,₹1.60 Cr,"₹11,679 per sqft",6 out of 11
F Residences,"2 BHK Apartment for Sale in F Residences, New Kalyani Nagar Pune",750 sqft,₹1.15 Cr,,5 out of 22
Godrej Urban Retreat,"2 BHK Apartment for Sale in Godrej Urban Retreat, Manjari Khurd Pune",51 sqm,₹95 Lac,"₹13,790 per sqft",11 out of 23
Himalayan Heights Fatima Nagar,"4 BHK Apartment for Sale in Himalayan Heights Fatima Nagar , Fatima Nagar Wanowrie Pune",,₹2 Cr,"₹10,000 per sqft",8 out of 10
,2 BHK Apartment for Sale in Raviraj Greenaria Pune,,₹53.9 Lac,"₹5,876 per sqft",
Karia Konark Orchid,"1 BHK Apartment for Sale in Karia Konark Orchid, Wagholi Pune",,₹45 Lac,"₹5,597 per sqft",2 out of 12
Ozone Apartments,"1 BHK Apartment for Sale in Ozone Apartments, Wagholi Pune",535 sqft,₹35 Lac,,1 out of 6
Paranjape Abhiruchi Parisar,"2 BHK Apartment for Sale in Paranjape Abhiruchi Parisar, Sinhgad Road Pune",700 sqft,₹75 Lac,"₹7,500 per sqft",2 out of 11
,2 BHK Apartment for Sale in Karvenagar Pune,650 sqft,₹78.5 Lac,"₹10,051 per sqft",2 out of 4
Saubhagya Residency,"2 BHK Apartment for Sale in Saubhagya Residency, Raje Shivaji Nagar Pune",,₹54 Lac,"₹6,000 per sqft",2 out of 3
Waterfront Condominiums,"4 BHK Apartment for Sale in Waterfront Condominiums, Kalyani Nagar Pune",2400 sqft,₹4.25 Cr,"₹15,179 per sqft",5 out of 11
Pebbles II,"3 BHK Apartment for Sale in Pebbles II, Bavdhan Pune",1030 sqft,₹1.42 Cr,"₹10,085 per sqft",15 out of 17
Kolte Patil 24K Glitterati,"3 BHK Apartment for Sale in Kolte Patil 24K Glitterati, Pimple Nilakh, Pimpri Chinchwad Pune",1650 sqft,₹2.20 Cr,"₹10,476 per sqft",4 out of 11
Kolte Patil Langston Tuscan,"2 BHK Apartment for Sale in Kolte Patil Langston Tuscan, Kharadi Pune",,₹1.05 Cr,"₹9,130 per sqft",6 out of 11
Majestique Mrugavarsha,"2 BHK Apartment for Sale in Majestique Mrugavarsha, Chavan Bagh Pune",765 sqft,₹60 Lac,"₹5,797 per sqft",9 out of 14
Rohan Abhilasha,"2 BHK Apartment for Sale in Rohan Abhilasha, Wagholi Pune",900 sqft,₹71 Lac,"₹5,844 per sqft",7 out of 10
Dahanukar Dahanukar Colony,"2 BHK Apartment for Sale in Dahanukar Dahanukar Colony, Dahanukar Colony, Kothrud Pune",698 sqft,₹1.25 Cr,"₹13,270 per sqft",7 out of 7
,1 BHK Apartment for Sale in Katraj Kondhwa Road Pune,420 sqft,₹29.1 Lac,"₹5,360 per sqft",3 out of 4
El Regalo,"2 BHK Apartment for Sale in El Regalo, Undri Pune",740 sqft,₹52 Lac,"₹5,149 per sqft",9 out of 12
Gera World of Joy,"2 BHK Apartment for Sale in Gera World of Joy, Ashoka Nagar, Kharadi Pune",780 sqft,₹1 Cr,"₹10,504 per sqft",5 out of 20
,1 BHK Builder Floor for Sale in Sukhsagar Nagar Katraj Pune,,₹35 Lac,"₹5,682 per sqft",3 out of 4
Yoo Pune,"4 BHK Apartment for Sale in Yoo Pune, Magarpatta Pune",5626 sqft,₹7.60 Cr,"₹13,509 per sqft",9 out of 20
,4 BHK Apartment for Sale in Mayur Colony Kothrud Pune,1220 sqft,₹2.30 Cr,"₹13,939 per sqft",7 out of 7
Raheja Vistas,"3 BHK Apartment for Sale in Raheja Vistas, NIBM Road Pune",1727 sqft,₹2.50 Cr,"₹11,364 per sqft",5 out of 30
,2 BHK Apartment for Sale in Wagholi Pune,750 sqft,₹72 Lac,"₹7,200 per sqft",4 out of 12
Majestique Euriska,"2 BHK Apartment for Sale in Majestique Euriska, NIBM Annexe Area Pune",807 sqft,₹71.4 Lac,"₹7,238 per sqft",3 out of 6
,"3 BHK Apartment for Sale in Salisbury Park, Gultekdi Pune",1800 sqft,₹2.75 Cr,"₹13,750 per sqft",2 out of 4
Kingston Atlantis,"3 BHK Apartment for Sale in Kingston Atlantis, NIBM Annexe Area Pune",1123 sqft,₹90 Lac,"₹6,207 per sqft",8 out of 14
Kalaapi Sucasa Phase I,"2 BHK Apartment for Sale in Kalaapi Sucasa Phase I, Wakad Road Pune",1100 sqft,₹88 Lac,"₹7,333 per sqft",8 out of 12
,2 BHK Apartment for Sale in Sahakar Nagar Tulshibagwale Colony Pune,754 sqft,₹1.20 Cr,"₹12,967 per sqft",4 out of 7
ARK Viman Platinum,"3 BHK Apartment for Sale in ARK Viman Platinum, Viman Nagar Pune",1200 sqft,₹1.50 Cr,"₹8,571 per sqft",4 out of 4
Paramount Madhupushpa Phase 1 CHS,"3 BHK Apartment for Sale in Paramount Madhupushpa Phase 1 CHS, Wakad Pune",1255 sqft,₹1.20 Cr,"₹7,668 per sqft",6 out of 12
,"3 BHK Apartment for Sale in Dahanukar Colony, Kothrud Pune",1299 sqft,₹2.05 Cr,"₹11,714 per sqft",7 out of 7
,4 BHK Apartment for Sale in Koregaon Park Pune,,₹7.45 Cr,"₹16,556 per sqft",2 out of 10
Aura City,"2 BHK Builder Floor for Sale in Aura City, Shikrapur Pune",,₹29.4 Lac,"₹4,238 per sqft",1 out of 4
Nyati Evita,"2 BHK Apartment for Sale in Nyati Evita, Lohegaon Pune",755 sqft,₹81.9 Lac,"₹8,832 per sqft",9 out of 10
,2 BHK Apartment for Sale in Talegaon Chakan Road Pune,600 sqft,₹27.6 Lac,"₹3,750 per sqft",3 out of 3
Bhakti Pride Apartment,"3 BHK Apartment for Sale in Bhakti Pride Apartment, Talegaon Dabhade Pune",1226 sqft,₹80 Lac,"₹5,714 per sqft",3 out of 3
ARV Imperia,"1 BHK Apartment for Sale in ARV Imperia, Pisoli Pune",,₹32 Lac,"₹5,000 per sqft",2 out of 11
Wellwisher Aairah Terrazo,"3 BHK Apartment for Sale in Wellwisher Aairah Terrazo, Shankar Sheth Rd Pune",1300 sqft,₹1.93 Cr,"₹13,125 per sqft",3 out of 6
Godrej Park Greens,"3 BHK Apartment for Sale in Godrej Park Greens, Mamurdi, Dehu Road Pune",601 sqft,₹70.5 Lac,"₹11,060 per sqft",1 out of 22
Kohinoor Ambrosia,"2 BHK Apartment for Sale in Kohinoor Ambrosia, Handewadi Road Pune",900 sqft,₹54 Lac,"₹4,758 per sqft",5 out of 9
Godrej Boulevard,"2 BHK Apartment for Sale in Godrej Boulevard, Manjri, Manjri Budruk Pune",,₹84 Lac,"₹13,084 per sqft",21 out of 22
Yogesh Gandharv Excellencee,"1 BHK Apartment for Sale in Yogesh Gandharv Excellencee, Moshi Pune",,₹32.6 Lac,"₹5,385 per sqft",1 out of 12
,2 BHK Apartment for Sale in Nere Pune,660 sqft,₹38.3 Lac,"₹6,071 per sqft",4 out of 4
Oxford Comforts,"2 BHK Apartment for Sale in Oxford Comforts, Wanowrie Pune",920 sqft,₹66 Lac,"₹6,471 per sqft",5 out of 5
Treedom Park,"2 BHK Apartment for Sale in Treedom Park, Kalas Pune",,₹83.7 Lac,"₹7,031 per sqft",8 out of 9
,1 BHK Apartment for Sale in Kesnand Pune,306 sqft,₹24.2 Lac,,5 out of 7
Megapolis Sunway,"2 BHK Apartment for Sale in Megapolis Sunway, Hinjawadi Pune",804 sqft,₹65 Lac,"₹6,455 per sqft",8 out of 14
Balaji Paradise,"2 BHK Apartment for Sale in Balaji Paradise, Dhayari Pune",776 sqft,₹51 Lac,"₹5,484 per sqft",2 out of 9
Godrej Boulevard,"1 BHK Apartment for Sale in Godrej Boulevard, Manjri, Manjri Budruk Pune",550 sqft,₹43 Lac,"₹7,679 per sqft",1 out of 23
Kalpataru Jade Residences,"4 BHK Apartment for Sale in Kalpataru Jade Residences, Baner Pune",,₹5.15 Cr,"₹19,808 per sqft",
Sanjuda Complex,"1 BHK Apartment for Sale in Sanjuda Complex, Fursungi Pune",576 sqft,₹27.3 Lac,,2 out of 5
Karma Iconic,"2 BHK Apartment for Sale in Karma Iconic, Keshav Nagar Mundhwa Pune",760 sqft,₹45.6 Lac,"₹6,447 per sqft",10 out of 14
Xrbia Ambi,"1 BHK Apartment for Sale in Xrbia Ambi, Ambi Pune",230 sqft,₹16 Lac,"₹5,333 per sqft",9 out of 11
,2 BHK Apartment for Sale in Wagholi Keshnand Road Pune,800 sqft,₹25 Lac,,5 out of 5
Kohinoor Kaleido,"3 BHK Apartment for Sale in Kohinoor Kaleido, Wagholi Pune",1600 sqft,₹1.80 Cr,,10 out of 20
The Canary,"4 BHK Apartment for Sale in The Canary, Balewadi Gaon, Balewadi Pune",1700 sqft,₹2 Cr,"₹9,524 per sqft",16 out of 28
Naren Hills,"3 BHK Apartment for Sale in Naren Hills, Wanawadi Gaon Pune",1250 sqft,₹85 Lac,"₹6,182 per sqft",2 out of 9
Meadows Habitat,"2 BHK Apartment for Sale in Meadows Habitat, Pashan Pune",800 sqft,₹83.7 Lac,"₹8,641 per sqft",4 out of 7
,"1 BHK Apartment for Sale in Bhugaon, Bavdhan Pune",498 sqft,₹43.7 Lac,"₹6,753 per sqft",1 out of 12
Tejraj Elevia,"4 BHK Apartment for Sale in Tejraj Elevia, Baner Pune",1613 sqft,₹2.45 Cr,"₹11,254 per sqft",6 out of 30
Power Boulevard,"3 BHK Apartment for Sale in Power Boulevard , Mundhwa Pune",1350 sqft,₹1.90 Cr,"₹10,270 per sqft",6 out of 10
,3 BHK Apartment for Sale in Sinhgad Road Pune,1250 sqft,₹1.18 Cr,"₹7,574 per sqft",13 out of 19
,1 BHK Apartment for Sale in Talegaon Dhamdhere Road Pune,393 sqft,₹21 Lac,"₹3,955 per sqft",2 out of 4
Majestique Towers,"3 BHK Apartment for Sale in Majestique Towers, Wagholi Pune",980 sqft,₹1.32 Cr,"₹9,103 per sqft",5 out of 16
Craft Apartment,"1 BHK Apartment for Sale in Craft Apartment, Lullanagar Pune",460 sqft,₹50 Lac,"₹9,709 per sqft",2 out of 4
Godrej Prana,"2 BHK Apartment for Sale in Godrej Prana, Undri Pune",851 sqft,₹56 Lac,"₹5,298 per sqft",2 out of 14
Tanish Orchid,"1 BHK Apartment for Sale in Tanish Orchid, Charholi BK Pune",500 sqft,₹34.8 Lac,"₹5,346 per sqft",8 out of 12
,1 BHK Builder Floor for Sale in Wagholi Pune,400 sqft,₹30.9 Lac,"₹5,493 per sqft",3 out of 4
,3 BHK Apartment for Sale in Fergusson College Road Pune,1200 sqft,₹2.14 Cr,"₹19,167 per sqft",3 out of 4
Rohan Palace,"1 BHK Apartment for Sale in Rohan Palace, Ambegaon Pune",500 sqft,₹45 Lac,"₹6,383 per sqft",3 out of 4
Chirag Grande View 7,"1 BHK Apartment for Sale in Chirag Grande View 7, Ambegaon BK Pune",430 sqft,₹47 Lac,"₹7,132 per sqft",7 out of 11
Sara City C,"2 BHK Apartment for Sale in Sara City C, Swapna Nagari Pune",750 sqft,₹28 Lac,"₹3,314 per sqft",3 out of 6
Panchshil Towers,"3 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",2200 sqft,₹3.15 Cr,"₹11,092 per sqft",11 out of 31
Pristine City BEF,"2 BHK Apartment for Sale in Pristine City BEF, Bakori Pune",650 sqft,₹32 Lac,,1 out of 11
Dwarka City,"1 BHK Apartment for Sale in Dwarka City, Mahalunge Ingale Pune",,₹15.3 Lac,"₹3,919 per sqft",2 out of 8
Imperial Towers,"2 BHK Apartment for Sale in Imperial Towers, NIBM Annexe Area Pune",980 sqft,₹78.2 Lac,"₹8,500 per sqft",1 out of 11
DSK Garden Enclave,"2 BHK Apartment for Sale in DSK Garden Enclave, NIBM Road Pune",1077 sqft,₹74 Lac,"₹6,172 per sqft",
Amit Bloomfield,"2 BHK Apartment for Sale in Amit Bloomfield, Ambegaon Pune",900 sqft,₹77.1 Lac,"₹7,143 per sqft",1 out of 12
Star City,"2 BHK Apartment for Sale in Star City, Moshi Pune",750 sqft,₹41.9 Lac,"₹5,455 per sqft",6 out of 11
P S Villa,"1 BHK Apartment for Sale in P S Villa, Manjri, Manjri Budruk Pune",560 sqft,₹45 Lac,"₹6,818 per sqft",Ground out of 4
,1 BHK Apartment for Sale in Talegaon Dabhade Pune,496 sqft,₹30 Lac,"₹5,000 per sqft",1 out of 5
Vishhram Daffodils,"1 BHK Apartment for Sale in Vishhram Daffodils, Talegaon Dabhade Pune",437 sqft,₹20.9 Lac,"₹5,252 per sqft",5 out of 10
,3 BHK Apartment for Sale in Kondhwa BK Pune,1500 sqft,₹1.80 Cr,"₹9,474 per sqft",5 out of 12
Fragrancia,"3 BHK Apartment for Sale in Fragrancia, Koregaon Park Pune",1185 sqft,₹3 Cr,"₹15,932 per sqft",1 out of 6
Vanashree Apartment,"1 BHK Apartment for Sale in Vanashree Apartment, Bavdhan Pune",320 sqft,₹35 Lac,"₹8,102 per sqft",1 out of 6
Sukhwani Araya,"2 BHK Apartment for Sale in Sukhwani Araya , Rahatani Pune",712 sqft,₹80 Lac,,5 out of 13
Kalbhor Lake Paradise,"3 BHK Apartment for Sale in Kalbhor Lake Paradise , Talegaon Dabhade Pune",1136 sqft,₹58 Lac,"₹4,265 per sqft",1 out of 4
,2 BHK Apartment for Sale in Mathwad prangan Pune,,₹1.20 Cr,"₹11,429 per sqft",4 out of 5
Rohan Abhilasha 2,"1 BHK Apartment for Sale in Rohan Abhilasha 2, Wagholi Pune",450 sqft,₹45 Lac,"₹9,000 per sqft",7 out of 9
Park Landmark,"3 BHK Apartment for Sale in Park Landmark, Bibwewadi Pune",1251 sqft,₹1.80 Cr,"₹11,827 per sqft",12 out of 12
Sara Orchids,"1 BHK Apartment for Sale in Sara Orchids, Chakan Pune",524 sqft,₹28 Lac,"₹4,124 per sqft",1 out of 12
Mont Vert Vesta,"2 BHK Apartment for Sale in Mont Vert Vesta, Pirangut Pune",611 sqft,₹37.6 Lac,"₹4,202 per sqft",5 out of 13
,2 BHK Apartment for Sale in Anand Nagar Pune,836 sqft,₹1.10 Cr,"₹10,506 per sqft",5 out of 5
,"2 BHK Builder Floor for Sale in Panmala, Pimpri Chinchwad Pune",,₹1.46 Cr,"₹14,904 per sqft",2 out of 3
Aura County,"1 BHK Apartment for Sale in Aura County, Wagholi Pune",400 sqft,₹34 Lac,"₹5,913 per sqft",3 out of 8
Clover Belvedere,"4 BHK Apartment for Sale in Clover Belvedere, Sopan Baug Society, Ghorpadi Pune",,₹4.47 Cr,"₹15,031 per sqft",3 out of 11
Sunshine Hills,"2 BHK Apartment for Sale in Sunshine Hills, Pisoli Pune",700 sqft,₹44 Lac,"₹4,944 per sqft",1 out of 14
Sai Sadan Apartment Dhankawadi,"2 BHK Apartment for Sale in Sai Sadan Apartment Dhankawadi, Dhankawadi Pune",760 sqft,₹37.9 Lac,"₹4,733 per sqft",2 out of 6
,2 BHK Apartment for Sale in Salunke Vihar Road Pune,1000 sqft,₹90 Lac,"₹7,500 per sqft",5 out of 6
,2 BHK Apartment for Sale in Vikas Nagar Road Pune,700 sqft,₹35 Lac,"₹4,268 per sqft",1 out of 3
,2 BHK Apartment for Sale in Pirangut Pune,738 sqft,₹39 Lac,"₹4,281 per sqft",8 out of 11
Reputed Harsh Vihar,"2 BHK Apartment for Sale in Reputed Harsh Vihar, Wireless Colony, Aundh Pune",836 sqft,₹88.4 Lac,"₹9,814 per sqft",6 out of 7
,2 BHK Apartment for Sale in Bhumkar Nagar Wakad Pune,720 sqft,₹80 Lac,"₹8,421 per sqft",4 out of 7
Neelaya,"1 BHK Apartment for Sale in Neelaya, Talegaon Dabhade Pune",436 sqft,₹29.5 Lac,"₹4,470 per sqft",7 out of 12
Popular Heights,"2 BHK Apartment for Sale in Popular Heights, Koregaon Park Pune",,₹90 Lac,"₹8,333 per sqft",1 out of 4
K Raheja Viva,"2 BHK Apartment for Sale in K Raheja Viva , Pirangut Pune",1200 sqft,₹1.30 Cr,"₹7,222 per sqft",1 out of 2
Mountscape,"1 BHK Apartment for Sale in Mountscape, Pisoli Pune",445 sqft,₹27.9 Lac,"₹4,815 per sqft",9 out of 9
,1 BHK Apartment for Sale in Undri Pune,,₹39 Lac,"₹5,735 per sqft",2 out of 12
Treedom Park,"5 BHK Apartment for Sale in Treedom Park, Vishrantwadi, Airport Road Pune",2700 sqft,₹3.40 Cr,"₹11,333 per sqft",6 out of 10
,1 BHK Apartment for Sale in Dhanori Pune,600 sqft,₹42 Lac,"₹5,600 per sqft",2 out of 5
Lokmangal KDR Group Enclave,"1 BHK Apartment for Sale in Lokmangal KDR Group Enclave, Manjari Khurd Pune",440 sqft,₹25 Lac,"₹4,378 per sqft",1 out of 5
Empire Estate Federation 2,"2 BHK Apartment for Sale in Empire Estate Federation 2, Pimpri Chinchwad Pune",700 sqft,₹96 Lac,"₹10,608 per sqft",5 out of 5
Rawat Capstone,"2 BHK Apartment for Sale in Rawat Capstone, Undri Pune",950 sqft,₹72 Lac,"₹6,261 per sqft",9 out of 9
Godrej Elements,"3 BHK Apartment for Sale in Godrej Elements, Hinjawadi Pune",1168 sqft,₹1.50 Cr,"₹11,682 per sqft",9 out of 11
,1 BHK Apartment for Sale in Hadapsar Pune,500 sqft,₹41.4 Lac,"₹6,438 per sqft",11 out of 11
,1 BHK Apartment for Sale in Raviwar Peth Pune,600 sqft,₹55 Lac,"₹7,333 per sqft",1 out of 4
Green Hive,"1 BHK Apartment for Sale in Green Hive, Fursungi Pune",450 sqft,₹28 Lac,"₹5,761 per sqft",9 out of 9
Bhoomi Heights Pune,"1 BHK Apartment for Sale in Bhoomi Heights Pune, Wadgaon Sheri Pune",575 sqft,₹34.8 Lac,"₹5,286 per sqft",5 out of 5
